segment_id,recording_id,reference,asr_raw,asr_normalized,english_loanwords,num_changed
0,825780,अब काफी अच्छा होता है क्योंकि उनकी जनसंख्या बहुत कम दी जा रही है तो हमें उनको देखना था तो एक देखना था मतलब वो तो देखना था लेकिन हमारा प्रोजेक्ट भी था कि जो जन जाती पाई जाती है उधर कि उधर की एरिया में उसके बारे में देखना अब,,,,False
1,825780,अनुभव करके कुछ लिखना था तो वह तो बिना देखिए नहीं हो सकती थी तो हम वहां गया थे कुड़रमा घाटी तरफ पर दिवोग काफी जंगली एरिया है वह जो खांड जनजाति पाए जाती ना वहां पाए जाती है तो,अगर बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बा�,अगर बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बाद़ बा�,,False
2,825780,जंगल का सफर होता है जब हम रहने के लिए गए थे नातो चाहते के साथ जैसे हम वहाँ पहले एंटर किये थे तो पहले तो गिर गया थे लगड़ा के उपर से नीचे,जंगल का सबवर भड़ा है जब लगने की लिए गयतना तो चाहते कि साभ जैसी हम वहां पहले एंटर की है तो तेले तो गीरी गयते लग़ा के उपर से नि,जंगल का सबवर भड़ा है जब लगने की लिए गयतना तो चाहते कि साभ जैसी हम वहां पहले एंटर की है तो तेले तो गीरी गयते लग़ा के उपर से नि,,False
3,825780,पहली बारी था क्योंकि चलना नहीं आता न वहाँ का जो लैंड एरिया होता है इधर उधर काफी इधर जाओ तो उधर लुढ़क जाओगे,अदर उदर गापी इदर जाए तो उदल लुड़ाक जाएगे ये प्रदागा गापी ये प्रदागा गापी ये प्रदागा गापी ये प्रदागा गापी,अदर उदर गापी इदर जाए तो उदल लुड़ाक जाएगे ये प्रदागा गापी ये प्रदागा गापी ये प्रदागा गापी ये प्रदागा गापी,,False
4,825780,हां तो फिर वहां जो दिन भर तो दिन में तो खोजने में वक्त बीत गया। जब रात की बारी आई तो हमने टेंट गड़ा और रहा तो जब पता जैसी रात हुआ ना शाम मतलब छै सात में इतना,तो भी भी तो दीन बर तो दीन में खोजने में वक्त भी दिया देव राद की पारी या एत भी ते हमने तेंट गडा और राद तो ज़ग पता जेज़े रा,तो भी भी तो दीन बर तो दीन में खोजने में वक्त भी दिया देव राद की पारी या एत भी ते हमने तेंट गडा और राद तो ज़ग पता जेज़े रा,,False
5,825780,अजीब सा आवाज आने लगा बहुत अजीब सा डर तो इतना लगा था कि अगर कोई आता तो हम टैंट उखाड़ ही बाग जाते लेकिन कुछ आया नहीं ऐसा कुछ हुआ नहीं,अजीब सा अवाज आने लग अप बहात अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजी,अजीब सा अवाज आने लग अप बहात अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजीब सा अजी,,False
6,825780,डर लगता है लेकिन बहुत सारे थे तो पता सब अपना अपना कैम्प डाल के रह रहा था और हम अकेली थे क्योंकि हमें बहुत सारा प्रोजेक्ट लिखना था तो हम अकेली बैठे थे कि मुझे करनी भी तो है न क्योंकि वहाँ घूमने तो गए नहीं थे और तो,अगर बादर लग लेकिन बहुत चारे तो पता सव अपना अपने काम पुडाल किरा राथा और हम अकेलि तें विकि विकि हमें बहुत चारा प्रोजेक लि�,अगर बादर लग लेकिन बहुत चारे तो पता सव अपना अपने काम पुडाल किरा राथा और हम अकेलि तें विकि विकि हमें बहुत चारा प्रोजेक लि�,,False
7,825780,ऐसा ही बात था तो पता है रात को मतलब जैसे छः सात आठ किलोमीटर में नौ बजे है नौ उसके बाद लेकिन शांति लेकिन सुकुन बहुत मिला और जैसे सुबह हुआ ना जैसे घर में तो सुबह उठते हैं तो ये काम करो वो काम करो तो,,,,False
8,825780,लगता है कि सर सुबह हो गया लेकिन कोई उठाने वाला नहीं था पता आराम से सो रहे थे सुबह दस बज गया था और जो जन जाती हैं हमने हां सुना है कि वहां की खंड जन जाती पाए जाती है तो पता ऐसे,अगर देखान तो आप देखान तो आप देखान तो आप देखान तो आप देखान तो आप देखान तो आप देखान तो आप देखान तो आप देखान तो �,अगर देखान तो आप देखान तो आप देखान तो आप देखान तो आप देखान तो आप देखान तो आप देखान तो आप देखान तो आप देखान तो �,,False
9,825780,हम्म हम लोग की तो सुबह होती है की मम्मी उठाने आती है तो वह मम्मी नहीं उठाने के लिए वो लोग उठाने के लिए आए थे। अब पता है कैसे उठाएं उठा के हम को बाहर कर दिया टेंट से बाहर उखाड़ मतलब उखाड़ कर हाँ,अप पता है कैसे उटाएं गवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवग,अप पता है कैसे उटाएं गवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवगवग,,False
