reference,prediction,wer
उससे अपना पढ़ने की चाह बढ़ती थी अब जो आज कल के बच्चे हैं उनमे पढ़ने की चाह खत्म होती जा रही है क्योंकि उनको सब पता है यूट्यूब पर मिली जाना है उनको तो ये सोचते हैं कि जब ए जब कुछ सब हम ऑनलाइन देख रहेंगे तो पढ़ना किस बात का,दूससे अपना पड़ने की चाह पड़ती थी अब जो आत्यू बच्ची आई उन्होंने पड़ने की चाह खता घूम उरी जाए क्योंकि उनको सपपता ही यूट्यूब पे में ले जाना है उनको तो वो यह सोचते हैं कि जब अह जब कुछ सब हम ऑंलाइन देख लेंगे तो पड़ना किसी बात का,52.83018867924528
हां,हाँ,100.0
हां मैंम अक्सर,हां आं अखसर,66.66666666666666
सबसे बड़ा त्यौहार है जी,चपते बड़ा त्यावा रही है जी,60.0
हम्मम,हम्म,100.0
हम्म,हूं,100.0
आप ही बता दो मैडम,आप ही बतादो मरम,60.0
इमेज़न करने लगता था कि ये दुनिया है और रियल दुनिया होगी जिसमें सुपर हीरो बचाता है,इमजन करने लगता रहा कि यह दुनियां है वो बिल्कुल कोई डियल दुनियां होगी इसमें सुपर ही रुप बजाता है,76.47058823529412
"हा बिल्कुल, बिल्कुल ,जी.",हां बिल्कुल बिल्कुल जी,75.0
हां.,हां,100.0
सड़क के किनारे जो ढाबा होता है मेरा अनुभव जहां तक है मेरा एक्सपीरियंस है सड़क किनारे जो ढाबा होते हैं वहां पे खाना खाने का एक अलग ही मज़ा होता है कि वहां पे जो भी मिलता है तो,सड़की किनारे जो दावा होता है मेरा आनुभव जानतक है मेरा सिर्स है तो सड़की किनारे जो दावा होते हैं वहां पर खाना खानी का एक अलगी मजा होता है कुछ वहां पर जो भी मिलता है तो,42.5
हमारे यहां तो सबसे बड़ी रश्म तो शादी होती है जी मैडम सा शादी होती है मैडम सबसे बड़ी रश्म तो,हमारे यहां तो जबसे बड़ी रसम तो शादी होती है मैडम जी मैडम शा शादी होती है मैडम सबसे बड़ी रसम तो,23.809523809523807
फोर व्हीलर है तो उसमें सीट बेल्ट लगाना अनिवार्य है लॉन्ग रूट पे नहीं जा सकते तो लांग साइट से नहीं चल सकते नहीं तो चालान हो जाएगा आप सिग्नल नहीं तोड़ेंगे तोड़ेंगे तो चालान हो जाएगा ये सब कोर्ट के नियम है ना,फोर भी ले रहे तो उस पे सीट बिल लगाना नहीं वा रहे हैं आप लांग रूट पर नहीं जा सकते लांग साइट से नहीं चल सकते नहीं तो चलान हो जाएगा आप सिंग्नल नहीं तोड़ेंगे तोड़ेंगे तो चलान हो जाएगा इस सब प्रोड पर नियम है न,47.72727272727273
तकलीफ होने लगी मैं टा समय पे नहीं पहुँच पाती थी कालेज जिससे मेरी पढ़ाई मेंरी छुट जाती थी और मुझे डाट भी पढ़ती थी अपने शिक्षकों से कि मै लेट से आती हु हमेशा पर,सकली फोने लगी मैं समय पे नहीं पहुंच पाती थी कॉलेज जिससे मेरी पढ़ाई में ले छूट जाती थी और मुझे डाट भी पढ़ती थी अपने सिक्षकों से इवैन लेट से आती हूं हमेशा पर,33.33333333333333
हम्म हम्म हाँ मैंने समझा आपक कोई भी ऐसा कुछ इन्सी ऐसा है हुआ है अनुभव जब आप ट्रेन या बस छूट जाए आपको ले देरी हो रही हो कही जाने में या आपको बहुत मुश्किल हुई,हम्म हम्म आपका कोविटी ऐसा कुछ इंसे ऐसा है कुआ है अनुभव जब आप ट्रेम बस छुट जाए आपको देरी हो रही हो कही जाने में या आपको बहुत मस्किल हुई,35.13513513513514
सबसे बड़ी रश्म तो यही है मैडम शादी का रश्म होता है न हमारे यहां तो दस दिन बारह दिन तक चलता है शादी का रश्म,सबसे बड़ी रसम तो यह है मडम शादी का रसम होता है नमारी यहां तो दस दिन बारा दिन तरह सेलता है शादी का रसम,38.46153846153847
दूसरी ये दिक्कत आती थी बारबार और फिर तुम जो पढ़ने जाओ तो वो फिर चिलाएंगे मूवी देखेंगे तो फिर वह माहौल डिस्टर्ब होता था बहुत दिक्कतें आती थी,दूसरी ये दिक्कत आती थी बारबार और फिर तुम जो पढ़ने जाओ तो वो फिर चिलाएंगे मूवी देखेंगे तो फिर वो माहौल ले सर्वोता था बहुत हां बहुत था बहुत दिक्ते आती थी,27.586206896551722
नोट हमारा ऐसा पॉप रॉक है हां क्लासिक हां प्लेलिस्ट और म्यूजिक सिफारीश शेयर करना ऐसा कभी किया है आपने प्लेलिस्ट में म्यूजिक और उसके लिए यह किया.,मॉर्ड हमारा ऐसा पॉप रॉक है हां क्लासिक हां प्ले लिस्ट और म्योजिक शिफारी शेयर करना ऐसा कभी किया है आपने प्ले लिस्ट में म्योजिक और के लिए किया,39.285714285714285
तो ये तो इमिनिस्टेशन में है नहीं रहा,हां तो ये तो इमनिसेशन में है नहीं रहा है नहीं,50.0
अच्छा तो वो ग्रेजुएशन कर रहे हो आप लग जी जी मैम,अच्छा तो वो ग्रेदुएशन कर रहे हैं आप लगते हैं जी जी मम्म,41.66666666666667
एक मिनट बस लेट हो गई थी और ट्रेन चगी गई तो मैं काफी निरास हुई बहुत गुस्सा भी आया अफसोस भी हुआ पर मैं।,एक मिनट बस लेट हो गई थी और ट्रेन चल गई तो मैं काफी निराज हुई बहुत गुस्सा भी आया अफसोस भी हुआ पर मैं,12.0
तो मतलब वो दिन मेरे जीवन का सबसे बड़ा दिन होगा,तो मतलब वो दिन मेरे जीवन का सबसे बड़ा तिन होगा,9.090909090909092
तो वहाँ पे वो रेडियो के जो मतलब ये रहते हैं ना जो सॉन्ग बगेरा वगैरह बजाते हैं आर जे आर जे हां हां तो वो आते थें तो उनसे मेरी जान पहचान हो गई थी।,तो वहाँ पे अ वो रेडियो के जो मतलब ये रहते हैं ना जो सॉन्ग वगैरा बजाते आर जे आर जे हां हां तो वो आते थे तो उनसे मेरी जानत पहचान हो गई थी,19.444444444444446
जी बिल्कुल बिल्कुल हाँ हाँ वो तो है हां बिल्कुल बिल्कुल तो आपने कॉलेज अभी आप काम करते हो कुछ या कॉलेज वगैरा,जी बिल्कुल बिल्कुल हां हां वो तो है हां बिल्कुल बिल्कुल तो आपने कॉलेज अभी आप काम करते हो कुछ या कॉलेज वगैरा,8.695652173913043
