word,label,confidence,reason
अब,correct spelling,high,in reference vocabulary
काफी,correct spelling,high,in reference vocabulary
अच्छा,correct spelling,high,in reference vocabulary
होता,correct spelling,high,in reference vocabulary
है,correct spelling,high,in reference vocabulary
क्योंकि,correct spelling,high,in reference vocabulary
उनकी,correct spelling,high,in reference vocabulary
जनसंख्या,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
बहुत,correct spelling,high,in reference vocabulary
कम,correct spelling,high,in reference vocabulary
दी,correct spelling,high,in reference vocabulary
जा,correct spelling,high,in reference vocabulary
रही,correct spelling,high,in reference vocabulary
तो,correct spelling,high,in reference vocabulary
हमें,correct spelling,high,in reference vocabulary
उनको,correct spelling,high,in reference vocabulary
देखना,correct spelling,high,in reference vocabulary
था,correct spelling,high,in reference vocabulary
एक,correct spelling,high,in reference vocabulary
मतलब,correct spelling,high,in reference vocabulary
वो,correct spelling,high,in reference vocabulary
लेकिन,correct spelling,high,in reference vocabulary
हमारा,correct spelling,high,in reference vocabulary
प्रोजेक्ट,correct spelling,high,Known English loanword correctly transcribed in Devanagari
भी,correct spelling,high,in reference vocabulary
कि,correct spelling,high,in reference vocabulary
जो,correct spelling,high,in reference vocabulary
जन,correct spelling,high,in reference vocabulary
जाती,correct spelling,high,in reference vocabulary
पाई,correct spelling,high,in reference vocabulary
उधर,correct spelling,high,in reference vocabulary
की,correct spelling,high,in reference vocabulary
एरिया,correct spelling,high,Known English loanword correctly transcribed in Devanagari
में,correct spelling,high,in reference vocabulary
उसके,correct spelling,high,in reference vocabulary
बारे,correct spelling,high,in reference vocabulary
अनुभव,correct spelling,high,in reference vocabulary
करके,correct spelling,high,in reference vocabulary
कुछ,correct spelling,high,in reference vocabulary
लिखना,correct spelling,high,in reference vocabulary
वह,correct spelling,high,in reference vocabulary
बिना,correct spelling,high,in reference vocabulary
देखिए,correct spelling,high,in reference vocabulary
नहीं,correct spelling,high,in reference vocabulary
हो,correct spelling,high,in reference vocabulary
सकती,correct spelling,high,in reference vocabulary
थी,correct spelling,high,in reference vocabulary
हम,correct spelling,high,in reference vocabulary
वहां,correct spelling,high,in reference vocabulary
गया,correct spelling,high,in reference vocabulary
थे,correct spelling,high,in reference vocabulary
कुड़रमा,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
घाटी,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
तरफ,correct spelling,high,in reference vocabulary
पर,correct spelling,high,in reference vocabulary
दिवोग,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
जंगली,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
खांड,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
जनजाति,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
पाए,correct spelling,high,in reference vocabulary
ना,correct spelling,high,in reference vocabulary
जंगल,correct spelling,high,in reference vocabulary
का,correct spelling,high,in reference vocabulary
सफर,correct spelling,high,in reference vocabulary
जब,correct spelling,high,in reference vocabulary
रहने,correct spelling,high,in reference vocabulary
के,correct spelling,high,in reference vocabulary
लिए,correct spelling,high,in reference vocabulary
गए,correct spelling,high,in reference vocabulary
नातो,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
चाहते,correct spelling,high,in reference vocabulary
साथ,correct spelling,high,in reference vocabulary
जैसे,correct spelling,high,in reference vocabulary
वहाँ,correct spelling,high,in reference vocabulary
पहले,correct spelling,high,in reference vocabulary
एंटर,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
किये,correct spelling,high,in reference vocabulary
गिर,correct spelling,high,in reference vocabulary
लगड़ा,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
उपर,correct spelling,high,in reference vocabulary
से,correct spelling,high,in reference vocabulary
नीचे,correct spelling,high,in reference vocabulary
पहली,correct spelling,high,in reference vocabulary
बारी,correct spelling,high,in reference vocabulary
चलना,correct spelling,high,in reference vocabulary
आता,correct spelling,high,in reference vocabulary
न,correct spelling,high,in reference vocabulary
लैंड,correct spelling,high,in reference vocabulary
इधर,correct spelling,high,in reference vocabulary
जाओ,correct spelling,high,in reference vocabulary
लुढ़क,correct spelling,low,OOV — not in reference vocab (may be valid proper noun/loanword)
जाओगे,correct spelling,high,in reference vocabulary
हां,correct spelling,high,in reference vocabulary
फिर,correct spelling,high,in reference vocabulary
दिन,correct spelling,high,in reference vocabulary
भर,correct spelling,high,in reference vocabulary
खोजने,correct spelling,high,in reference vocabulary
